trial,model,task,latency,temperature,id,result,quality,accuracy,variance,consensus,effectiveness,elapsed,strategy,created
Trial_519 0,mixtral:8x22b,classify a short statement into a category of fakeness,197.0,0.6,Item_3,'Says the Annies List political group supports third-trimester abortions on demand.' is labeled as 'false'.,0.4428948835,0.0,2.872405259884072e-07,0.9993840033631426,0.24984600084078565,7m 19s,RANDOM,2025-07-11 09:43:21
Trial_519 0,o1-mini,classify a short statement into a category of fakeness,40.0,1.0,Item_1,'Says the Annies List political group supports third-trimester abortions on demand.' is labeled as 'false'.,0.4425547584,0.0,0.0005236393998558,0.973699037465736,0.243424759366434,7m 19s,RANDOM,2025-07-11 09:43:21
Trial_519 0,o1-mini,classify a short statement into a category of fakeness,28.0,1.0,Item_1,'Says the Annies List political group supports third-trimester abortions on demand.' is labeled as 'false'.,0.4425547584,0.0,3.631771314435715e-07,0.9993073485759892,0.2498268371439973,7m 19s,RANDOM,2025-07-11 09:43:21
Trial_519 0,claude-3-5-sonnet-latest,classify a short statement into a category of fakeness,7.0,0.7,Item_9,'Says the Annies List political group supports third-trimester abortions on demand.' is labeled as 'false'.,0.4428527411,0.0,0.0015871066730545,0.9542112757817302,0.23855281894543254,7m 19s,RANDOM,2025-07-11 09:43:21
Trial_519 0,mixtral:8x22b,classify a short statement into a category of fakeness,118.0,0.6,Item_3,'Says the Annies List political group supports third-trimester abortions on demand.' is labeled as 'false'.,0.4428948835,0.0,2.911065810541127e-07,0.9993798717784074,0.24984496794460184,7m 19s,RANDOM,2025-07-11 09:43:21
Trial_519 0,claude-3-7-sonnet-20250219,classify a short statement into a category of fakeness,5.0,0.7,Item_0,'Says the Annies List political group supports third-trimester abortions on demand.' is labeled as 'false'.,0.4425543244,0.0,0.0012862655168857,0.9587787841125788,0.2396946960281447,7m 19s,RANDOM,2025-07-11 09:43:21
Trial_519 0,o1-mini,classify a short statement into a category of fakeness,28.0,1.0,Item_1,'Says the Annies List political group supports third-trimester abortions on demand.' is labeled as 'false'.,0.4425547584,0.0,0.001505714877483,0.9554008219181832,0.2388502054795458,7m 19s,RANDOM,2025-07-11 09:43:21
Trial_519 0,o1-mini,classify a short statement into a category of fakeness,27.0,1.0,Item_1,'Says the Annies List political group supports third-trimester abortions on demand.' is labeled as 'false'.,0.4425547584,0.0,3.5906792770684613e-07,0.999311278259988,0.249827819564997,7m 19s,RANDOM,2025-07-11 09:43:21
Trial_519 0,o3-mini,classify a short statement into a category of fakeness,34.0,1.0,Item_8,'Says the Annies List political group supports third-trimester abortions on demand.' is labeled as 'false'.,0.4423100267,0.0,3.97920422499045e-06,0.9977072663824876,0.2494268165956219,7m 19s,RANDOM,2025-07-11 09:43:21
Trial_519 1,o4-mini,classify a short statement into a category of fakeness,40.0,1.0,Item_8,' When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration. ' is labeled as ' true '.,2.7147736665,0.0,0.0095609638789614,0.9823441811415684,0.2455860452853921,8m 22s,RANDOM,2025-07-11 09:50:43
Trial_519 1,o3-mini,classify a short statement into a category of fakeness,43.0,1.0,Item_4,' When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.' is labeled as 'half-true'.,9.1307497843,1.0,0.7241521294771999,0.8463431478693131,0.9615857869673283,8m 22s,RANDOM,2025-07-11 09:50:43
Trial_519 1,mixtral:8x22b,classify a short statement into a category of fakeness,505.0,0.6,Item_7, 'When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.' is labeled as 'mostly-true'.,1.9324706785,0.0,0.0572947483225135,0.9567790375288766,0.23919475938221915,8m 22s,RANDOM,2025-07-11 09:50:43
Trial_519 1,qwen2.5:32b,classify a short statement into a category of fakeness,60.0,0.45,Item_0,'When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.' is labeled as 'half-true'.,9.9983143153,1.0,0.1368761717350113,0.9331962332838842,0.9832990583209711,8m 22s,RANDOM,2025-07-11 09:50:43
Trial_519 1,gpt-4o,classify a short statement into a category of fakeness,3.0,0.6,Item_6,'When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.' is labeled as 'half-true'.,8.1214928046,1.0,1.4597063593860224,0.781842687019426,0.9454606717548565,8m 22s,RANDOM,2025-07-11 09:50:43
Trial_519 1,llama3.1:70b,classify a short statement into a category of fakeness,367.0,0.6,Item_5,'When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.' is labeled as 'false'.,2.986251887,0.0,11.741705643911793,0.3812679395991593,0.09531698489978982,8m 22s,RANDOM,2025-07-11 09:50:43
Trial_519 1,llama3.1:70b,classify a short statement into a category of fakeness,349.0,0.6,Item_5,'When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.' is labeled as 'false'.,2.986251887,0.0,2.6407233806585467e-09,0.999990721057551,0.24999768026438776,8m 22s,RANDOM,2025-07-11 09:50:43
